url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,38,Rudolph The Red-Nosed Reindeer,Gene Autry,Rudolph The Red-Nosed ReindeerGene Autry,2,44,38,6
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,97,Lord Above,Fat Joe & Dre Featuring Eminem & Mary J. Blige,Lord AboveFat Joe & Dre Featuring Eminem & Mary J. Blige,1,,97,1
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,43,Happy Holiday / The Holiday Season,Andy Williams,Happy Holiday / The Holiday SeasonAndy Williams,1,47,43,2
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,61,Like It's Christmas,Jonas Brothers,Like It's ChristmasJonas Brothers,1,72,61,2
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,76,No Idea,Don Toliver,No IdeaDon Toliver,1,68,68,2
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,67,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You WantPost Malone Featuring Ozzy Osbourne & Travis Scott,1,60,8,14
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,80,223's,YNW Melly & 9lokknine,223'sYNW Melly & 9lokknine,1,74,34,14
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,2,Circles,Post Malone,CirclesPost Malone,1,2,1,15
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,41,One Man Band,Old Dominion,One Man BandOld Dominion,1,30,20,16
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,98,Big Stepper,Roddy Ricch,Big StepperRoddy Ricch,1,,98,1
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,100,BEST ON EARTH,Russ & BIA,BEST ON EARTHRuss & BIA,1,,100,1
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,52,Blinding Lights,The Weeknd,Blinding LightsThe Weeknd,1,11,11,2
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,90,Homesick,Kane Brown,HomesickKane Brown,1,88,88,4
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,30,everything i wanted,Billie Eilish,everything i wantedBillie Eilish,1,25,8,5
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,65,Heart On Ice,Rod Wave,Heart On IceRod Wave,1,59,54,5
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,17,Heartless,The Weeknd,HeartlessThe Weeknd,1,1,1,3
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,55,Into The Unknown,Idina Menzel & AURORA,Into The UnknownIdina Menzel & AURORA,1,46,46,3
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,95,Yellow Hearts,Ant Saunders,Yellow HeartsAnt Saunders,1,84,81,5
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,9,Dance Monkey,Tones And I,Dance MonkeyTones And I,1,13,9,10
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,12,Bandit,Juice WRLD & YoungBoy Never Broke Again,BanditJuice WRLD & YoungBoy Never Broke Again,1,40,10,10
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,14,"10,000 Hours",Dan + Shay & Justin Bieber,"10,000 HoursDan + Shay & Justin Bieber",1,10,4,10
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,11,BOP,DaBaby,BOPDaBaby,1,12,11,11
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,28,Woah,Lil Baby,WoahLil Baby,1,29,16,5
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,74,Suicidal,YNW Melly,SuicidalYNW Melly,1,86,64,3
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,78,6 Kiss,Trippie Redd Featuring Juice WRLD & YNW Melly,6 KissTrippie Redd Featuring Juice WRLD & YNW Melly,1,80,60,3
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,86,Candy,Doja Cat,CandyDoja Cat,1,94,86,3
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,93,Show Yourself,Idina Menzel & Evan Rachel Wood,Show YourselfIdina Menzel & Evan Rachel Wood,1,70,70,3
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,36,Falling,Trevor Daniel,FallingTrevor Daniel,1,41,36,4
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,13,Lose You To Love Me,Selena Gomez,Lose You To Love MeSelena Gomez,1,9,1,8
